,Job Title,Salary Estimate,Rating,Company Name,Description,Location,size,type,sector,founded,industry,revenue
0,Data Scientist,$90K - $175K (Glassdoor est.),4.1,"Nike
4.1","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Nike USA Inc. New York, NY. Design, develop and program methods, processes, and systems to consolidate and analyze structured/unstructured, diverse big data sources to generate actionable insights and solutions for strategic initiatives and product enhancement. Build products for analysis and interact with product and business teams to identify questions and issues for data analysis and experiments. Develop and code software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identify meaningful insights from large data and metadata sources. Build models to predict consumer behavior and business outcomes. Interpret and communicate insights and findings from analysis and experiments to technical and non-technical stakeholders. Use best practices and data of internal or external business issues to improve products or services. Perform work in support of brand plans and demonstrate link between daily work and company mission. Participate in initiatives, programs or products with moderate visibility.
Applicant must have a Master’s degree in Business Analytics and Project Management, Data Science, Mathematics or Statistics and two (2) year of experience in the job offered or related occupation. Experience must include the following:
SQL
Python
Tableau
Databricks
Machine Learning
Data Engineering
Statistical modeling and analysis
A/B Testing
Big Data
Data analysis and manipulations
Nike requires all applicants for this position to be vaccinated for COVID-19 as a condition of hire, unless otherwise required by law. As an equal opportunity employer, Nike will make accommodations to individuals who cannot be vaccinated in accordance with applicable law.
NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.
NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.
Start your job application: click Apply Now
Show Less",Illinois,10000+ Employees,Company - Public,Manufacturing,1972,Consumer Product Manufacturing,$10+ billion (USD)
1,Data Scientist - Remanufacturing,-1,4.0,"Caterpillar
4.0","Career Area:
Information Analytics
Job Description:
At Caterpillar, we're working to help our customers build a better world. We wouldn’t be the Caterpillar we are today without the exceptionally talented, bright and driven people who get the job done. This is your chance to help us make progress possible around the world – for our customers, for growing communities and for every member of our team. We are looking for a dynamic, organized self-starter to join our Caterpillar Reman Division as a Data Scientist II to support our facility in Mossville, IL.
Caterpillar Remanufacturing Analytics
We’re committed to our customers, who build a better world with our products, services, and solutions. We understand and show the value of why they should always choose us. We’re exploring new ideas and opportunities – innovating to discover the breakthroughs necessary for tomorrow’s growth.


As a Data Scientist II, you will support Caterpillar Reman’s effort in achieving the Reman’s sales growth enablement’s and OPACC objectives in a manner consistent with Caterpillar Enterprise objectives through project work.
Job Duties/Responsibilities may include, but are not limited to:
Responsible for providing business and system support to Caterpillar Reman business partners.
Provide key standards when implementing a new process or procedure
Collaborate with BUs and the Cat Reman analytics team to identify potential enhancements to Reman processes.
Use extensive analytical skills and Reman Knowledge for leading Cat Reman research projects to develop enhancements to better planning of Reman parts.
Create/Improve reporting tools on various platforms to enable leadership to effectively monitor dealer performance, including Power BI.
Provide timely ad hoc analysis on BU and leadership requests.
Specific projects may include but not limited to investigating reasons for yield loss, explaining inventory growth, determining services growth opportunities, and identifying some key areas of lean to improve OPACC.
Communicate with Customers to understand project scope
Derive solutions utilizing Reman Analytics’ available Python with Kedro Framework, Docker, AWS and Snowflake tools.
Lead project planning and project execution activities.
Participate in Code Review, Knowledge Shares, and Project Showcases

Basic Qualifications:
Bachelor’s Degree in mathematics, statistics, engineering or related field.
2+ years of previous technical experience in data analytics or data driven role
2+ years of previous experience in data visualization
Experience deploying Python codebase, or equivalent language with eagerness to learn python.
Knowledge of SQL databases and queries
Demonstrated project management experience
Operational knowledge of git
Top Candidates Will Also Have:
Excellent oral and written communication skills
Strong customer focus
Ability to work effectively with a wide variety of groups including IT and Industry Partners.
Experience writing Data Pipelines with Python
Experience with Kedro Framework
Experience with a git based workflow and collaborating on software projects.
Experience with Azure Build Pipelines, or equivalent ci/cd with willingness to use Azure Build Pipelines
Experience working with Reman Commercial, Supply Chain, Accounting, NPI, Operations or other Reman groups.
Experience with descriptive statistical controls and workflows
Employee benefit details:
Our goal at Caterpillar is for you to have a rewarding career. Our teams are critical to the success of our customers who build a better world.
Here you earn more than just an hourly wage, because we value your performance, we offer a total rewards package that provides day one benefits (medical, dental, vision, RX, and 401K) along with the potential of annual bonuses.
Additional benefits include paid vacation days and paid holidays (prorated based upon hire date).
This position will be 100% remote work from home with < 25% domestic travel

Please ensure you frequently sign in to your candidate home for any updates or correspondence for positions that you have applied for. https://cat.wd5.myworkdayjobs.com/CaterpillarCareers .
Keep a frequent check on emails as correspondence will be sent to the email that you used to apply with.
This employer is not currently hiring foreign national applicants that require or will require sponsorship tied to a specific employer, such as, H, L, TN, F, J, E, O. As a global company, Caterpillar offers many job opportunities outside of the U.S which can be found through our employment website at www.caterpillar.com/careers

Relocation assistance is not offered for this position. Any relocation costs incurred would be the responsibility of the selected applicant.
EEO/AA Employer. All qualified individuals - Including minorities, females, veterans and individuals with disabilities - are encouraged to apply.
Not ready to apply? Submit your information to our Talent Network here .
Apply Now: click Apply Now
Show Less",Illinois,10000+ Employees,Company - Public,Manufacturing,1925,Machinery Manufacturing,$10+ billion (USD)
2,Data Scientist,Employer Provided Salary:$105K - $115K,3.1,"FriendFinder Networks
3.1","WHAT WE WANT
FriendFinder Networks is looking for a Data Scientist with the primary responsibility to query and analyze large disparate datasets looking for relationships and trends typically related to increasing revenue, improving membership conversions, fraud detection and prevention, and providing actionable insights for solutions to business problems. You will communicate your findings and make presentations to senior management on a regular basis. Your contributions will ensure FriendFinder Networks will continue to provide our customers the best possible user experience for everyone who visits our web sites 24 hours a day, every day of the year, all over the world.
WHAT YOU WILL DO
Analyze complex data to provide recommendations for maximizing profitable revenue, traffic conversion opportunities, and reducing costs to support business objectives
Perform data analysis to support executive decisions
Work with stakeholders identifying and defining operational problems, plan project strategy, and define data requirements
Perform complete queries across multiple database/servers, and ideally, stored procedures, user defined functions, events, etc.
Dive into complex data sets to analyze trends, identify opportunities and quantify the potential value of new initiatives.
Able to define business requirements for reporting, dashboards, analytics and ad-hoc reporting for various Business Units
Effectively communicate findings to non-technical stakeholders and senior leadership
WHAT YOU MUST HAVE
Bachelor’s degree in applied or technical discipline (CS, Math, Statistics, Engineering or similar) is required
2 years’ of relevant business analysis experience 2 years’ Google Analytics experience preferred
Experience with R/S-Plus, SPSS, SAS, STATA (or similar), MS SQL Server Analysis Services, etc. is required
Programming or scripting language experience would be advantageous (e.g., Perl)
Statistical background with experience in regression analysis, correlation analysis, clustering , machine learning
Must be comfortable with adult content
Must be at least 21 years old
WHAT IS PREFERABLE TO HAVE
Hands on advanced experience with MYSQL, writing queries
Experience working in ecommerce or technology apps
Advanced MS Excel (e.g., pivot tables, MS query, array formulae, user-defined functions, etc.)
Demonstrated ability designing effective solutions to complex problems; intuitive/natural aptitude for problem solving
Solid track record of ownership of projects and adept at working independently with little supervision
Articulate and comfortable communicating with colleagues, different teams, and all levels of management
WHAT YOU SHOULD BE ABLE TO DEMONSTRATE
Demonstrated strong analytical skills
Team-player, positive attitude and flexible
Excellent verbal and written communication skills
Ability to handle multiple projects simultaneously while meeting deadlines
Should have a high degree of honesty and integrity
Should be a team-player, positive attitude and flexible
REPORTING TO THIS POSITION: No direct reports
PERKS
FriendFinder Networks Inc. and its subsidiaries offer a business casual work environment, flexible work hours, and a competitive salary. The benefits package includes:
401(k) with a 6% match on eligible earnings with no vesting period
Medical (Kaiser HMO, Blue Shield PPO), Dental, and Vision
Flexible Spending Account for Healthcare and Dependent Care
Life Insurance, AD&D, LTD and Short and Long Term Disability
Paid Time Off (20 days PTO) and Holiday Pay (12 company paid holidays off)
Employee Assistance Program
Commuter Benefits
Tuition Reimbursement
Health Club Reimbursement
WORKING WITH US
WE ARE PASSIONATE ABOUT WHAT WE DO
Not only do we love what we do, but we truly believe in it. We grow through positive education, skill training, courses, big stories, and big dreams. We are constantly improving and striving for perfection to revolutionize and enhance the lives of our members.
WE CARE ABOUT PEOPLE
The main precondition of any relationship is the ability to put ourselves in someone else’s shoes to truly understand them. Satisfied customers, employees, and business partners are not just a cog in the wheel, but the main ingredient of the company’s success.
WE EMBRACE DIVERSITY IN ALL FORMS
FriendFinder Networks has embraced diversity from the beginning of its history dating back to the mid 1990s. We created the first online personals sites for gays and lesbians, for non-English-speaking audiences, and for those who enjoy what was once called ""alternative lifestyles"". Headquartered in San Francisco / Silicon Valley and staffed throughout the world, our team also relies on diversity of background, perspectives, and ideas.
Job Type: Full-time
Pay: $105,000.00 - $115,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
COVID-19 considerations:
All FriendFinder Networks employees are working remotely until further notice. All interviews are conducted by video.
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: Remote
Show Less",Illinois,201 to 500 Employees,Company - Private,Information Technology,1996,Internet & Web Services,$25 to $50 million (USD)
3,Data Scientist,Employer Provided Salary:$90K - $100K,-1,TSYS Technologies,"· Conduct research leveraging big data technologies that surface actionable insight that influences analytical solutions roadmap
· Gather and process raw data at scale by using statistical packages like R, and programming languages like Python, Java, Scala
· Process unstructured data into a form suitable for analysis – and then do the analysis.
· Utilize image processing and Computer Vision
WHO YOU ARE
You possess …
· Undergraduate degree in Computer Science or related field or equivalent work experience
· Effective in a fast-paced environment
· Collaborative/enjoys working in teams
· Self-starter/motivator
· Some experience in software or applications engineering and/or technical operations
Responsibilities:
· Conduct research leveraging big data technologies that surface actionable insight that influences analytical solutions roadmap
· Gather and process raw data at scale by using statistical packages like R, and programming languages like Python, Java, Scala
· Process unstructured data into a form suitable for analysis – and then do the analysis.
· Image processing and Computer Vision
· Critical thinking skills to assess how AI capabilities can best be applied to complex business situations.
· Work closely with the engineering team to integrate your ideas, innovations, and algorithms into production systems.
· Support business decisions with ad hoc analysis as needed.
· Having the ability to query databases with structured and unstructured data and perform statistical analysis
· Being able to work in a fast-paced multidisciplinary environment as in a competitive landscape new data keeps flowing in rapidly and the world is constantly changing;
Work on building deep learning models in production for predicting ideally vendor capacity, and order volume.
· All other duties as assigned.
Qualifications:
· Undergraduate degree in Computer Science or related field or equivalent work experience
· Certification preferred but not required
· Some experience in software or applications engineering and/or technical operations
· Work and/or academic experience building applications using any of the following:
o Large scale distributed databases as well as more traditional options: key-value, graph, SQL, NoSQL, time series
o Machine Learning like R, Python
o Deep knowledge of large-scale object stores (e.g. HDFS) and the ecosystem of tools used for machine learning applications (e.g. spark etc.). In particular, we’re looking for the flexibility to make decisions that best optimize for our applications and don’t follow
the crowd to a default answer.
o Exposure to cloud environments is preferable to Azure
o Experience handling data with relational databases is preferred
o Knowledge of machine learning/distributed systems
o SQL server or Oracle
· Effective in a fast-paced environment
· Collaborative/enjoys working in teams
· Self-starter/motivator
· Creative and effective problem-solving skills
· Ability to work on/manage multiple tasks concurrently.
Job Types: Full-time, Contract
Pay: $90,000.00 - $100,000.00 per year
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Experience:
Python, Java, Scala: 3 years (Preferred)
key-value, graph, SQL, NoSQL, time series: 3 years (Preferred)
Azure: 3 years (Preferred)
Work Location: Remote
Show Less",Illinois,-1,-1,-1,-1,-1,-1
4,Data Scientist II,Employer Provided Salary:$100K - $120K,3.6,"Teladoc Health
3.6","The Opportunity
Come work for a data-driven innovator that’s transforming the healthcare industry. In your role as a Data Scientist - Clinical Services, you’ll work closely with our coaching teams to create scalable analytics, models and insights that enable personalized and timely support for our members.
This role is focused on developing, maintaining, and leveraging continuous insights into coaching and clinical operations; examples include (1) deriving and tracking actionable metrics, (2) scheduling coach and provider staffing through predictive forecasting, (3) optimizing capacity management for coaches and providers, and (4) surfacing member feedback/impact metrics for improved personalized support for our members. Through these activities, this role is foundational in driving better clinical outcomes.
Responsibilities
Support detailed reporting, statistical analyses, modeling and forecasting for Teladoc’s clinical service and clinical operations teams.
Collaborate closely with cross-functional stakeholders, scope and solve problems they face, and help decision-makers on the team form educated, practical strategies and recommendations.
Leverage a broad set of technical skills and strong business understanding to creatively solve complex problems with strategic impact.
Build model pipelines and data models that enable actionable visualizations and insights to business stakeholders.
Solid communication and stakeholder management skills plus ability to deliver complex projects in time.
Candidate Profile
Our successful candidate will have:
1+ years’ experience in Data Science, Business Analytics or a related field in SaaS or consumer companies, or in an academic/clinical setting (e.g., MS, MPH, PhD).
Strong SQL skills, ability to code in and analyze data with Python (or R), and practical experience with BI tools like Tableau.
A firm understanding of statistical (inference and hypothesis testing) and machine learning concepts/techniques, with strong experience in applying these concepts to solve business problems.
Strong critical thinking, active listening and good communication skills to infer business needs, grasp underlying context, and translate loose direction on analytical projects into concrete solutions.
Compelling storytelling through analytics and visualization, getting your point across and keeping your audience engaged.
The flexibility to respond to changing priorities and business environments.
Experience with building dashboards in Tableau would be a plus
A Master’s degree or higher in computer science, statistics, information systems, engineering, or a related field.
The base salary range for this position is $100,000 - 120,000. In addition to a base salary, this position is eligible for a performance bonus and benefits (subject to eligibility requirements) listed here: Teladoc Health Benefits 2022 . Total compensation is based on several factors including, but not limited to, type of position, location, education level, work experience, and certifications. This information is applicable for all full-time positions.
Why Join Teladoc Health?

A New Category in Healthcare: Teladoc Health is transforming the healthcare experience and empowering people everywhere to live healthier lives.

Our Work Truly Matters: Recognized as the world leader in whole-person virtual care, Teladoc Health uses proprietary health signals and personalized interactions to drive better health outcomes across the full continuum of care, at every stage in a person’s health journey.

Make an Impact: In more than 175 countries and ranked Best in KLAS for Virtual Care Platforms in 2020, Teladoc Health leverages more than a decade of expertise and data-driven insights to meet the growing virtual care needs of consumers and healthcare professionals.

Focus on PEOPLE: Teladoc Health has been recognized as a top employer by numerous media and professional organizations. Talented, passionate individuals make the difference, in this fast-moving, collaborative, and inspiring environment.

Diversity and Inclusion: At Teladoc Health we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.

Growth and Innovation: We’ve already made healthcare yet remain on the threshold of very big things. Come grow with us and support our mission to make a tangible difference in the lives of our Members.
As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy.
Apply Now: click Apply Now
Show Less",Illinois,1001 to 5000 Employees,Company - Public,Healthcare,2002,Health Care Services & Hospitals,$1 to $2 billion (USD)
5,Junior Data Scientist,Employer Provided Salary:$65K - $70K,-1,Tarifica,"About the Position
At Tarifica, we develop and maintain software and tools that helps mobile carriers track the prices and offers of their competition in real-time and the disseminate this data to different departments. We specialize in generating curated data feeds and tools, which are tailored to the specific needs of users in marketing, competitive intelligence, strategy and other departments. This process creates a dataset that covers every available purchasing choice facing consumers, which is updated daily.
The primary responsibilities of the Junior Data Scientist will be to convert the information from Tarifica’s data feeds to a unified dataset and then using this dataset to model the mobile marketplace. The goal of these models will be to gauge the impact of pricing/offering changes on consumer demand. In this role, you will work closely with the digital strategy, marketing and pricing departments from one of Tarifica’s largest clients (a major European telecom provider).
Projects will include:
Creating pricing models that help our clients identify opportunities to win new subscribers, retain existing customers and/or increase their average revenue per user
Analyzing very large volumes of data using advanced statistical techniques
Building and refining data pipelines
Creating compelling data visualizations
Delivering presentations and making recommendations to clients and Tarifica senior management
The ideal candidate will have experience with the following:
Python – the candidate should be comfortable working with Python classes, functions, constructors, iterators, exception handling and other core python concepts. The following libraries will be used:
o Pandas
o Scikit-Learn
o Statsmodels
o NumPy, SciPy
o SQLAlchemy
o Any of the visualization libraries (matplotlib, seaborn, plotly.js etc.)
R – the candidate should be comfortable working with the following libraries:
o Data.table
o Dplyr
o Ggplot2
o Tidyr
o Knitr
o Caret
o RMySQL
Advanced SQL
o Candidate must be comfortable with writing complex SQL queries
o Basic CRUD processes
Microsoft Azure
Statistical fundamentals
Data wrangling
JMP and/or Tableau (Dashboards/Data Extracts/Analytics)
Data analysis/visualization
This is a great opportunity for a professional with one to three years of data science/engineering experience who is ready to take the next step.
About You
Data Storyteller—You can see trends in data and can communicate this information in a compelling way to a non-quantitative audience.
Entrepreneurial– You are hungry to join a growing company.
Detail oriented– You can closely review information, identifying errors, trends and noteworthy items.
Problem solver– You think creatively, adapt to changing circumstances, embrace challenges and are open to experimenting to find the best approach to a project.
Team oriented– While cliché, strong interpersonal skills and a “team player” attitude are strongly desired. Consistent with our startup mentality, we work closely and collaboratively on every project.
College Degree or higher– You have a bachelor’s degree in a quantitative field from a four-year college or university
About Tarifica
Tarifica is the leading global provider of telecom plan, pricing, and device data. Our software solutions, state of the art data extraction techniques and experienced team of analysts enable clients to make smart decisions in real-time based on insightful, actionable information.
Our focus is on telecom plans. We work to cover all aspects of our chosen specialty, providing clients with large datasets, hard-to-find information, software solutions, in-depth analyses and meaningful advice. Our goal is to collaborate as partners with our clients to help them achieve important strategic and operational business goals.
Tarifica’s state-of-the-art global plan and pricing datasets, modeling capabilities, software solutions, and team of industry expert analysts provide clients with unparalleled opportunities to make data-driven decisions in real-time and achieve strategic and operational goals.
Job Type: Full-time
Pay: $65,000.00 - $70,000.00 per year
Benefits:
Health insurance
Paid time off
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
All staff are currently working from home.
Work Location: One location
Show Less",Illinois,-1,-1,-1,-1,-1,-1
6,Data Scientist,$73K - $138K (Glassdoor est.),3.1,"Ortho Molecular Products
3.1","Overview
Why Work at Ortho Molecular Products:

The position is on-site at our Stevens Point, Wisconsin facility. The schedule is Monday through Friday from 8:00am to 5:00pm - this is not a remote opportunity.

The successful candidate will enhance business opportunities throughout the company by gathering data, analyzing trends, building predictive models, and assisting in the implementation of solutions with a focus on continual growth and improvement of predictive modeling strategies.

What to Expect:

Performs predictive modeling for sales and operations including use of regression analysis and machine learning, and updates models as necessary with new data and technology.
Selects between various predictive modeling methodologies to find the best fit and most robust model, performs accuracy testing and cross validation.
Creates forecasts and reports on trends using large amounts of data across multiple platforms.
Creates dynamic data visualizations such as plots and choropleth maps that are specific to data science project requirements.
Understands core concepts around data storage and access to databases.

What You Will Contribute:

Bachelor’s degree or higher education in a data intensive field
1-2 years related experience in Quantitative Analysis preferred
Strong systems skills including R and/or Python coding, SQL, MS Office (Excel, Word, Outlook, PowerPoint). Strong data visualization skills with Power BI, Tableau, or R Markdown. Business Central, CRM and SharePoint experience preferred.
Excellent written/verbal communication and planning skills. Ability to present projects and findings to a group of stakeholders. Strong experience creating presentations, knowledge of business processes, and outcomes. Experience working in a collaborative team environment.
Understands the business, technical, and end-user requirements for project planning and scope development. Can work independently and make decisions to determine the best outcome. Excellent analytical, mathematical, critical thinking, and problem-solving skills. Applies new insights and learning to future projects. Project management experience and skills preferred.
Ability to effectively priorities daily tasks, check work for errors, perform checks for model accuracy such as RMSE or MAPE. Adept at planning and prioritizing workload and deadlines.
CHARACTER QUALITIES: Dependability, Discernment, Integrity, Orderliness, Persistence, Responsibility, Initiative, Thoroughness, and Wisdom.
Must be authorized to work in the U.S. as Sponsorship is not provided

What You Will Receive:

Competitive Compensation with Bonus Program
Medical, Dental, Vision, Company Paid Life Insurance, and 401(k) with Employer Match
Voluntary Benefits: Short Term Disability, Life, Critical Illness, Accident, & Hospital Indemnity
Paid Time Off and Holiday
Job Specific Training & Tuition Reimbursement Program
Wellness & Employee Assistance Program, Gym Reimbursements, and Healthy, Company Paid Meals
Free Monthly Products, Employee Discounts, and Employee Referral Incentives

Simply put, our healthcare system is broken. It is expensive, complicated, and dysfunctional. At Ortho Molecular Products, our vision is to transform the practice of medicine. Every day, across America and the world, we help health care providers implement better solutions for health challenges that include lifestyle medicine and nutritional therapies proven to improve patient outcomes. We do this by manufacturing science-based products and developing innovative clinical programs for doctors that help their patients get better faster.

We are looking for people who align with our mission and want to invest their lifework and passion into transforming the practice of medicine. Our team is purpose-driven, values-based, and service-focused. We are looking for likeminded people who want to join the movement that is changing the way healthcare is being delivered.

Ortho Molecular Products honors the service of our military veterans and understands how that service translates to a successful career. We invite you to explore the Ortho website to learn about our career opportunities and apply.

Ortho Molecular Products is an Equal Opportunity Employer.
Show Less",Illinois,201 to 500 Employees,Company - Private,Manufacturing,1989,Health Care Products Manufacturing,$50 to $100 million (USD)
7,Data Scientist or Bioinformatician,Employer Provided Salary:$60K - $100K,4.0,"UT Southwestern Medical Center
4.0","Center Information:
The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has six faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.
Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)
Duties & Responsibilities: For bioinformatics scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.
At UTSW, there are great opportunities for scientists to collaborate with outstanding biomedical investigators and work on exciting research projects. UT Southwestern provides a friendly, dynamic, collaborative, and integrative research and training environment with state-of-the-art facilities.
Position Qualifications: Candidates should have a doctoral degree in either one of the following fields, including genetics/genomics, bioinformatics, computer science, biostatistics, computational biology or a related field. Programming skills in Python, Perl or R is preferred. Experience for deep learning is highly preferred for data scientist position.
Related websites:
QBRC: https://qbrc.swmed.edu/
Application Deadline: until filled
UT Southwestern Western Medical Center is an Affirmative Action/Equal Opportunity Employer. Women, minorities, veterans and individuals with disabilities are encouraged to apply.
Job Types: Full-time, Contract
Pay: $60,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Flexible schedule
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Commission pay
Signing bonus
Education:
Doctorate (Preferred)
Work Location: Remote
Start your job application: click Easy Apply
Show Less",Illinois,10000+ Employees,Hospital,Healthcare,1943,Health Care Services & Hospitals,$2 to $5 billion (USD)
8,Lead Data Scientist,Employer Provided Salary:$70 - $80 Per Hour,4.5,"VIR Consultant LLC
4.5","Job Responsibilities
Programming Skills: Proficiency in Python is required along with hands-on experience of ML/DL libraries like Numpy, Pandas, scikit-learn, TensorFlow, pytorch, Mathplotlib, etc
Good knowledge in statistics and probability distributions
Experience in handling image data using python libraries like OpenCV, scikit-image etc
Deep understanding on common Machine Learning techniques related to Time series, Regression, Classification, Clustering, etc.(e.g. KNN, SVM, Random Forest, GBM, XGBoost, ARIMA, etc) and their applications
Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, etc.
Experience in Optical Character Recognition and Document Digitization problems preferred
Working knowledge in deep learning with different NN architectures like CNN, RNN, LSTM, GANs Auto encoders, Transformers, YoLo etc.
Should be able to adopt available models from open source domain and implement research papers based on use-case requirements
Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment
Nice to have understanding of big data related technologies and DevOps (Dockers, Singularity)
Other skills/ expectations
Good communication and presentation skill
Proven ability be creative and analytical in trouble shooting issues
Ability to work in a fast-paced and high-pressure environment to manage competing priorities
Job Type: Contract
Salary: $70.00 - $80.00 per hour
Schedule:
8 hour shift
Experience:
Machine learning: 8 years (Required)
Python: 5 years (Required)
Work Location: One location
Show Less",Illinois,51 to 200 Employees,Unknown / Non-Applicable,-1,Self-employed,-1,-1
9,Data Scientist,$102K - $170K (Glassdoor est.),3.8,"Amazon.com Services LLC
3.8","3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
2 years working as a Data Scientist

Job summary Do you want to join an innovative team of scientists who use machine learning and statistical techniques to help Amazon provide the best customer experience by protecting Amazon customers from hackers and bad actors? Do you want to build advanced algorithmic systems that help manage the trust and safety of millions of customer every day? Do you like to innovate and simplify? If yes, then you may be a great fit to join the Amazon Account Integrity team. The Amazon Account Integrity team works to ensure that customers are protected from bad actors trying to access their accounts. Our greatest challenge is protecting customer trust without unjustly harming good customers. To strike the right balance, we invest in mechanisms which allow us to accurately identify and mitigate risk, and to quickly correct and learn from our mistakes. This strategy includes continuously evolving enforcement policies, iterating our Machine Learning risk models, and exercising high‐judgement decision‐making where we cannot apply automation. Key job responsibilities 1. Use statistical and machine learning techniques to create scalable risk management systems 2. Analyzing and understanding large amounts of Amazon’s historical business data for specific instances of risk or broader risk trends 3. Working closely with operations staff to optimize risk management operations 4. Establishing scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation 5. Tracking general business activity and providing clear, compelling management reporting on a regular basis
Graduate degree in Computer Science, Mathematics, Statistics, Economics, Finance, related technical field 2. 5+ years working as a Data Scientist or related fields 2+ years of experience as Tech Lead among data scientists Strong communication and presentation skills necessary to build effective working relationships and positively influence decision making Strong business acumen and product sense Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.
Start your job application: click Apply Now
Show Less",Illinois,10000+ Employees,Company - Public,Information Technology,1994,Internet & Web Services,$10+ billion (USD)
